"","Nest_ID","a1000_areaam1","a1000_areaam2","a1000_areacv1","a1000_areacv2","a1000_areamn1","a1000_areamn2","a1000_ca1","a1000_ca2","a1000_contag","a1000_lpi","a1000_lpi1","a1000_lpi2","a1000_np","a1000_np1","a1000_np2","a1000_pd","a1000_pd1","a1000_pd2","a1000_pland1","a1000_pland2","a1000_proxam","a1000_proxam1","a1000_proxam2","a1000_proxcv","a1000_proxcv1","a1000_proxcv2","a1000_proxmn","a1000_proxmn1","a1000_proxmn2","a1000_Ha","a1000_PBu","a1000_RxBu","a1000_WFBu"
"12","EMFWOR_NCAMC3-08A_2018",144.595993,22.6940994,251.302002,269.1860046,19.7663002,2.75211,158.1300049,52.2900009,33.5130997,49.2519989,49.2519989,10.8242998,27,8,19,8.80023,2.60748,6.19276,51.5400009,17.0431004,32.0892982,30.9993992,35.3855019,172.1929932,94.4766006,150.2599945,64.1980972,164.9279938,21.7856007,0,0,0,0
"13","EMFWOR_NCAMC3-08A_2020",148.8809967,20.0788002,212.5359955,269.4970093,26.9850006,2.4300001,161.9100037,53.4599991,33.4715004,50.5719986,50.5719986,10.2082996,28,6,22,9.1261702,1.95561,7.1705599,52.7720985,17.4244995,31.7520008,30.3297997,36.0591011,185.0930023,108.7229996,141.8650055,46.8372002,134.5630035,22.9120007,0,0,0,0
"14","EMFWOR_NCAMC4-01A_2018",137.9299927,5.3646898,397.5880127,283.0090027,8.2063599,0.595455,180.5399933,58.9500008,23.9491005,51.3347015,51.3347015,3.9601099,121,22,99,39.4380989,7.1705599,32.2675018,58.8442001,19.2138004,61.5890007,77.207901,13.7545996,240.352005,80.7698975,101.5299988,45.4089012,214.8959961,7.74509,4.2241101,8.3808098,56.2943993,0
"15","EMFWOR_NCAMC4-01A_2020",163.5559998,4.8133702,387.2430115,281.3120117,10.2250004,0.54,184.0500031,54.5400009,26.6476002,56.5267982,56.5267982,3.9601099,119,18,101,38.7862015,5.8668199,32.9193993,59.9883003,17.7765007,32.763401,38.9838982,11.7718,247.5240021,63.0681,107.3949966,47.8703995,277.1659851,7.0058198,5.8961601,13.1617002,61.9155006,0
"16","EMFWOR_NCAMC4-07A_2016",144.0180054,31.8635006,517.8259888,432.3049927,5.1778102,1.61836,165.6900024,89.0100021,14.1638002,50.3372993,50.3372993,17.0725002,87,32,55,28.3563004,10.4299002,17.9263992,54.0041008,29.0114002,27.0746994,33.8979988,14.3732996,153.5390015,95.5251999,137.7059937,81.7912979,172.4279938,29.0573997,0,0,0,0
"17","EMFWOR_NCAMC4-07A_2018",151.7039948,17.6305008,520.3670044,308.4670105,5.4029002,1.67667,167.4900055,90.5400009,14.2714996,51.9506989,51.9506989,11.6456003,85,31,54,27.7043991,10.1040001,17.6005001,54.5908012,29.5100994,23.6551991,21.2336006,28.1348991,162.6119995,93.0101013,118.1340027,73.7247009,168.1269989,19.5307999,0,0,0,0
"18","EMFWOR_NCAMC4-07A_2019",163.253006,9.7804499,454.3039856,245.7920074,7.5443501,1.3890001,173.5200043,83.3399963,15.8908997,54.8548012,54.8548012,7.2161899,83,23,60,27.0526009,7.4965,19.5561008,56.5561981,27.1634007,17.2112999,18.0361996,15.4937,170.6459961,70.4805984,90.4115982,73.5775986,224.2019958,15.8381004,0,0,0,0
"19","EMFWOR_NCAMC4-09A_2020",169.8470001,3.8398499,232.0540009,189.0449982,26.6014004,0.839531,186.2100067,53.7299995,27.9113998,57.9054985,57.9054985,3.1974199,71,7,64,23.1413994,2.2815399,20.8598003,60.6922989,17.5125008,14.9059,15.2378998,13.7554998,282.0169983,65.5240021,78.7332993,36.2779007,287.7850037,8.7692699,0,0,0,0
"20","EMFWOR_NCAMC4-10A_2016",115.5709991,7.5693498,327.1610107,271.019989,9.875,0.907031,177.75,58.0499992,24.3887005,46.0545998,46.0545998,5.8961601,82,18,64,26.7266006,5.8668199,20.8598003,57.9348984,18.9204998,80.7741013,104.3679962,8.5282297,221.9550018,92.8631973,93.3780975,45.7439995,173.1580048,9.9089298,0,0,0,0
"21","EMFWOR_NCAMC4-10A_2017",162.1170044,4.43472,309.1870117,200.375,15.3525,0.884286,184.2299957,55.7099991,26.7980995,56.2335014,56.2335014,3.02141,75,12,63,24.4451008,3.9112201,20.5338993,60.0469017,18.1578007,20.5704002,23.0881004,12.2446003,221.1889954,47.0839005,78.2301025,60.3950996,330.7680054,8.8954496,0,0,0,0
"22","EMFWOR_NCAMC4-10A_2018",169.3939972,3.50313,248.7420044,193.4320068,23.5688,0.738806,188.5500031,49.5,30.6445007,58.1696014,58.1696014,3.1680801,75,8,67,24.4451008,2.60748,21.8376007,61.4550018,16.1338005,17.0988007,18.3099995,12.4851999,285.3739929,63.2708015,91.6247025,39.8054008,310.4500122,7.4896002,0,0,0,0
"23","EMFWOR_NCAMC4-10B_2018",70.4297028,13.0479002,276.6180115,310.7160034,8.1405001,1.22464,162.8099976,68.5800018,19.4978008,31.4755001,31.4755001,8.6242304,76,20,56,24.7709999,6.5186901,18.2523003,53.0653992,22.3526001,87.905899,116.9649963,18.9188004,148.1589966,55.9482994,136.348999,48.2100983,142.0359955,14.7007999,0,0,0,0
"24","EMFWOR_NCAMC5-01A_2015",185.0299988,7.8882499,339.2139893,266.1570129,14.7945995,0.975789,192.3300018,55.6199989,28.5111008,61.4842987,61.4842987,5.5148101,70,13,57,22.8153992,4.2371502,18.5783005,62.6870003,18.1285,17.0534992,17.3393002,16.0650997,207.0980072,46.9673996,110.2180023,80.4263992,387.3729858,10.4209995,0,0,0,0
"25","EMFWOR_NCAMC5-01A_2017",185.0299988,7.8882499,339.2139893,266.1570129,14.7945995,0.975789,192.3300018,55.6199989,28.5111008,61.4842987,61.4842987,5.5148101,70,13,57,22.8153992,4.2371502,18.5783005,62.6870003,18.1285,17.0534992,17.3393002,16.0650997,207.0980072,46.9673996,110.2180023,80.4263992,387.3729858,10.4209995,0,0,0,0
"26","EMFWOR_NCAMC5-01A_2018",185.0299988,7.8882499,339.2139893,266.1570129,14.7945995,0.975789,192.3300018,55.6199989,28.5111008,61.4842987,61.4842987,5.5148101,70,13,57,22.8153992,4.2371502,18.5783005,62.6870003,18.1285,17.0534992,17.3393002,16.0650997,207.0980072,46.9673996,110.2180023,80.4263992,387.3729858,10.4209995,0,0,0,0
"27","EMFWOR_NCAMC5-01A_2020",182.3390045,8.3336296,352.6499939,255.272995,13.5706997,1.1087199,189.9900055,52.1100006,30.7194004,60.6629982,60.6629982,5.5148101,61,14,47,19.882,4.5630798,15.3189001,61.9243011,16.9845009,17.7266006,18.0781002,16.4449997,182.5399933,42.7510986,112.3939972,99.3550034,395.9249878,11.0150003,0,0,0,0
"28","EMFWOR_NCAMC7-06A_2015",14.9350004,183.1040039,242.9129944,341.3900146,2.16429,14.4692001,90.9000015,188.1000061,19.566,60.4869003,7.71487,60.4869003,55,42,13,17.9263992,13.6892996,4.2371502,29.6275005,61.3083,36.7421989,89.4447021,11.2735004,141.7319946,80.0631027,59.5374985,107.7089996,42.1577988,319.4909973,0,0,0,0
"29","EMFWOR_NCAMC7-06A_2018",15.5004997,178.345993,245.9730072,340.54599,2.19857,14.1576996,92.3399963,184.0500031,18.4986992,59.0495987,7.71487,59.0495987,55,42,13,17.9263992,13.6892996,4.2371502,30.0967999,59.9883003,38.0267982,90.5114975,11.6946001,141.9490051,82.1546021,58.7780991,105.1709976,40.7355003,313.348999,0,0,0,0
"30","EMFWOR_NCAMC7-06A_2020",14.5734997,192.0059967,231.7290039,296.1889954,2.28789,19.6469994,86.9400024,196.4700012,21.6956997,63.3030014,7.71487,63.3030014,48,38,10,15.6449003,12.3855,3.2593501,28.3367996,64.0363998,33.5764008,84.6380005,10.9811001,145.5480042,79.5229034,45.149601,116.6969986,42.0769005,400.2539978,0,0,0,0
"31","EMFWOR_NCAMC8-06A_2016",147.5549927,2.22228,451.2709961,145.1529999,6.9065199,0.715263,158.8500061,54.3600006,21.8687992,49.8973007,49.8973007,2.2880599,99,23,76,32.2675018,7.4965,24.7709999,51.7747002,17.7178001,18.3190994,22.3999996,6.3938999,190.9810028,49.8986015,53.1251984,70.1824036,280.6159973,6.4987001,0,0,0,0
"32","EMFWOR_NCAMC8-07A_2017",143.5659943,5.1498399,465.8059998,207.4019928,6.3252001,0.971379,158.1300049,56.3400002,21.7194004,49.1053009,49.1053009,4.75213,83,25,58,27.0526009,8.1483698,18.9041996,51.5400009,18.3631992,22.1674995,27.1516991,8.1781998,170.8919983,58.1259995,66.0856018,85.5224991,266.4890137,7.5199399,0,0,0,0
"33","EMFWOR_NCAMC8-07A_2018",143.5659943,5.1498399,465.8059998,207.4019928,6.3252001,0.971379,158.1300049,56.3400002,21.7194004,49.1053009,49.1053009,4.75213,83,25,58,27.0526009,8.1483698,18.9041996,51.5400009,18.3631992,22.1674995,27.1516991,8.1781998,170.8919983,58.1259995,66.0856018,85.5224991,266.4890137,7.5199399,0,0,0,0
"34","EMFWOR_NCAMC8-07A_2019",143.5659943,5.1498399,465.8059998,207.4019928,6.3252001,0.971379,158.1300049,56.3400002,21.7194004,49.1053009,49.1053009,4.75213,83,25,58,27.0526009,8.1483698,18.9041996,51.5400009,18.3631992,22.1674995,27.1516991,8.1781998,170.8919983,58.1259995,66.0856018,85.5224991,266.4890137,7.5199399,0,0,0,0
"35","EMFWOR_NCAMC8-09A_2019",115.3359985,8.2635002,481.6029968,243.5619965,4.7670999,1.19204,147.7799988,58.4099998,20.2094994,42.4757996,42.4757996,6.6001801,80,31,49,26.0748005,10.1040001,15.9708004,48.1665993,19.0377998,47.8302002,62.3722992,11.0379,144.5090027,66.4982986,110.3379974,88.0926971,206.0149994,13.4891005,0,0,0,0
"36","EMFWOR_NCAMC8-09A_2020",96.3471985,25.0028,475.2789917,402.1990051,4.0844102,1.45565,138.8699951,66.9599991,16.6655006,37.547699,37.547699,13.1709995,80,34,46,26.0748005,11.0818005,14.993,45.2625008,21.8246002,58.736599,81.0270996,12.5077,136.0630035,84.2805023,145.6199951,71.7386017,137.2920074,23.2861004,0,0,0,0
"37","EMFWOR_NLFTT2-01A_2017",59.7504997,24.8281002,435.8529968,318.8009949,2.9879999,2.2240701,134.4600067,131.2200012,8.5064898,28.0433998,28.0433998,12.6136999,104,45,59,33.8972015,14.6671,19.2301006,43.8251991,42.7691002,125.2229996,131.3699951,118.9240036,84.7473984,62.4109001,83.2942963,89.1203995,133.4499969,55.3098984,25.0806999,12.9580002,0,0
"38","EMFWOR_NLFTT2-01A_2018",191.7220001,3.8110199,261.6530151,196.5820007,24.4349995,0.783443,195.4799957,47.7900009,33.0191994,63.0976982,63.0976982,2.4054,69,8,61,22.4895,2.60748,19.882,63.7136993,15.5763998,9.8500204,9.7306404,10.3382998,276.8179932,49.2332001,107.927002,52.6104012,407.3890076,6.0820498,14.6377001,0,0,0
"39","EMFWOR_NLFTT2-01B_2018",56.7979012,26.0932007,414,320.1499939,3.13116,2.3194699,134.6399994,132.2100067,8.5949898,27.2514,27.2514,12.9949999,100,43,57,32.5934982,14.0151997,18.5783005,43.8838005,43.0918007,126.3330002,131.0809937,121.4970016,83.6387024,62.469799,83.5350037,88.3727036,130.401001,56.6669998,30.6247997,12.7256002,0,0
"40","EMFWOR_NLILT1-07A_2019",180.697998,10.2265997,353.6560059,324.1069946,13.3779001,0.888923,187.2899933,57.7799988,27.6088009,59.9589005,59.9589005,7.0401902,79,14,65,25.7488003,4.5630798,21.1858006,61.0443001,18.8325005,13.5953999,14.7138004,9.96984,195.3370056,48.5231018,108.1809998,75.9082031,352.9719849,16.2329998,55.5000992,2.68963,0,0
"41","EMFWOR_NLILT1-07A_2020",173.6470032,9.4432602,326.7369995,315.2269897,14.8725004,0.863437,178.4700012,55.2599983,27.4428997,57.3774986,57.3774986,6.5121698,76,12,64,24.7709999,3.9112201,20.8598003,58.1696014,18.0111008,10.9923,11.6647997,8.8204298,202.9499969,40.8432007,113.7549973,70.6416016,369.3299866,14.6374998,63.4496994,5.7739401,0,0
"42","EMFWOR_NLILT1-08A_2021",160.0930023,11.4308996,350.0499878,360.125,12.0792999,0.818308,169.1100006,53.1899986,27.6765003,53.6227989,53.6227989,7.3922,79,14,65,25.7488003,4.5630798,21.1858006,55.1188011,17.3365002,17.0662994,19.3223991,9.8936005,189.776001,44.7252007,131.5549927,66.8998032,307.2829895,15.125,60.1055984,61.8487015,0,0
"43","EMFWOR_NLILT1-10A_2016",26.9375,78.7650986,307.5979919,354.2510071,2.5748799,5.81318,105.5699997,127.8899994,15.8219004,32.2382011,13.5523996,32.2382011,63,41,22,20.5338993,13.3633003,7.1705599,34.4089012,41.6837997,83.0756989,89.9764023,77.379303,104.7340012,84.2210007,111.211998,59.3396988,49.9819984,76.7790985,11.9390001,0,0,0
"44","EMFWOR_NLILT3-04A_2020",200.1750031,8.4399204,313.4580078,257.67099,18.4909,1.10478,203.3999939,76.2300034,21.1112003,65.7670975,65.7670975,4.5761199,80,11,69,26.0748005,3.5852799,22.4895,66.2950974,24.8460007,15.7969999,6.6205902,40.2820015,198.1230011,47.6946983,83.7902985,74.6939011,397.651001,23.2080002,66.3831024,44.0238991,18.6777992,0
"45","EMFWOR_NLILT3-10A_2017",105.435997,63.2984009,538.5369873,429.8420105,3.5142901,3.25,147.6000061,117,8.89571,40.5396996,40.5396996,27.6620998,78,42,36,25.4228992,13.6892996,11.7335997,48.1078987,38.1343002,70.9365005,72.1955032,69.3481979,81.9468994,62.7074013,101.6389999,143.6779938,188.6629944,91.1956024,5.1041398,0,0,0
"46","EMFWOR_NLILT3-10A_2018",58.0466003,64.006897,384.8099976,412.6940002,3.6719999,3.54971,146.8800049,120.6900024,8.6038799,28.7474003,28.7474003,28.1021004,74,40,34,24.1191998,13.0374002,11.0818005,47.8732986,39.3370018,129.2200012,170.352005,79.1629028,90.3435974,79.3000031,104.2050018,102.4759979,118.8339996,83.2310028,66.6471024,0,0,0
"47","EMFWOR_NMUDT1-05A_2015",26.5811005,62.9813004,444.1400146,429.9630127,1.2825,3.2320001,102.5999985,145.4400024,9.0864496,29.8327999,16.3684006,29.8327999,125,80,45,40.7417984,26.0748005,14.6671,33.4408989,47.4039001,95.9832993,58.0914993,122.7139969,98.8673019,85.7575989,70.777298,89.8935013,54.1405983,153.4539948,13.4350004,13.2793999,0,0
"48","EMFWOR_NMUDT1-05A_2016",26.5811005,62.9813004,444.1400146,429.9630127,1.2825,3.2320001,102.5999985,145.4400024,9.0864496,29.8327999,16.3684006,29.8327999,125,80,45,40.7417984,26.0748005,14.6671,33.4408989,47.4039001,95.9832993,58.0914993,122.7139969,98.8673019,85.7575989,70.777298,89.8935013,54.1405983,153.4539948,13.4350004,13.2793999,0,0
"49","EMFWOR_NMUDT1-05A_2018",38.4492989,33.8350983,496.3880005,384.4370117,1.49958,2.14429,106.4700012,135.0899963,7.19101,20.3871994,20.3871994,19.0377998,134,71,63,43.6752014,23.1413994,20.5338993,34.702301,44.0304985,98.7031021,83.7622986,110.4789963,87.9145966,84.4798965,91.476799,74.8275986,74.1568985,75.5833969,14.2564001,12.1844997,0,0
"50","EMFWOR_NMUDT1-05A_2020",26.6599998,62.2514,441.9880066,422.5669861,1.29825,3.3013599,103.8600006,145.2599945,8.8189402,29.7154999,16.4563999,29.7154999,124,80,44,40.4159012,26.0748005,14.3410997,33.8516006,47.3452988,95.2014008,60.9389992,119.6989975,99.9122009,84.9658966,77.2253036,86.5571976,55.723999,142.6179962,56.9375,12.3309002,0,0
"51","EMFWOR_NMUDT1-05A_2021",26.6599998,62.2514,441.9880066,422.5669861,1.29825,3.3013599,103.8600006,145.2599945,8.8189402,29.7154999,16.4563999,29.7154999,124,80,44,40.4159012,26.0748005,14.3410997,33.8516006,47.3452988,95.2014008,60.9389992,119.6989975,99.9122009,84.9658966,77.2253036,86.5571976,55.723999,142.6179962,59.9883003,21.5615997,0,0
"52","EMFWOR_NPINT1-03A_2018",125.2129974,12.8529997,525.84198,216.9620056,4.3702898,2.2520499,148.5899963,99.0899963,9.4505901,44.4412003,44.4412003,7.8908801,78,34,44,25.4228992,11.0818005,14.3410997,48.4305992,32.2969017,42.8909988,57.6335983,20.7837009,102.5009995,29.6854992,59.3890991,155.3150024,321.0929871,27.2133999,33.0009003,13.2730999,0,0
"53","EMFWOR_NRIMT1-01A_2015",12.1190004,169.4089966,235.727005,388.3380127,1.84833,10.5349998,99.8099976,189.6300049,16.1548004,58.3749008,8.7708998,58.3749008,72,54,18,23.4673004,17.6005001,5.8668199,32.5315018,61.8069992,53.0495987,53.6446991,52.7363014,150.8079987,88.9363022,41.9093018,118.2910004,27.5898991,390.3930054,7.3922,0,0,0
"54","EMFWOR_NRIMT1-01A_2016",14.9411001,137.673996,253.0540009,331.0090027,2.01808,11.5143995,104.9400024,184.2299957,14.9574003,51.3347015,9.5629196,51.3347015,68,52,16,22.1636009,16.9486008,5.2149501,34.2036018,60.0469017,109.5479965,83.5985031,124.3280029,146.3650055,93.3410034,54.7527008,98.3255005,34.3347015,306.29599,8.7415705,0,0,0
"55","EMFWOR_NSWRC2-09A_2016",51.3799019,134.4450073,397.6730042,433.8880005,3.0557101,6.7813001,128.3399963,155.9700012,10.6893997,47.1693001,25.6380005,47.1693001,65,42,23,21.1858006,13.6892996,7.4965,41.8303986,50.8359985,63.4333,109.3450012,25.6546001,107.9169998,98.4804001,97.9449005,111.8190002,85.2941971,160.2559967,1.99472,0,0,0
"56","EMFWOR_NSWRC2-09A_2017",51.3799019,134.4450073,397.6730042,433.8880005,3.0557101,6.7813001,128.3399963,155.9700012,10.6893997,47.1693001,25.6380005,47.1693001,65,42,23,21.1858006,13.6892996,7.4965,41.8303986,50.8359985,63.4333,109.3450012,25.6546001,107.9169998,98.4804001,97.9449005,111.8190002,85.2941971,160.2559967,2.3174,2.2790201,0,0
"57","EMFWOR_NSWRC2-09A_2018",51.3799019,134.4450073,397.6730042,433.8880005,3.0557101,6.7813001,128.3399963,155.9700012,10.6893997,47.1693001,25.6380005,47.1693001,65,42,23,21.1858006,13.6892996,7.4965,41.8303986,50.8359985,63.4333,109.3450012,25.6546001,107.9169998,98.4804001,97.9449005,111.8190002,85.2941971,160.2559967,2.3174,2.2790201,0,0
"58","EMFWOR_NSWRC2-10A_2015",85.5908966,143.9609985,564.2659912,417.4460144,2.6063299,7.81286,127.7099991,164.0700073,8.9965496,50.0732994,34.0275993,50.0732994,70,49,21,22.8153992,15.9708004,6.8446298,41.6250992,53.4761009,46.467701,56.3363991,38.7859993,73.5341034,73.8103027,54.2033997,187.6179962,147.4440002,281.3580017,22.7339001,11.0291004,0,0
"59","EMFWOR_NSWRC3-03A_2019",11.9194002,109.9459991,269.375,358.6419983,1.44367,7.9312501,70.7399979,126.9000015,17.3425007,38.4864006,6.3948398,38.4864006,65,49,16,21.1858006,15.9708004,5.2149501,23.0566006,41.3610992,14.0934,16.7029991,12.6386995,203.3809967,81.3462982,126.0139999,40.2858009,16.8976994,111.9120026,5.4268098,0,0,0
"60","EMFWOR_NSWRC3-03A_2020",12.9713001,104.0910034,276.0960083,314.0650024,1.50429,9.5815401,73.7099991,124.5599976,16.2073994,37.0783005,7.3922,37.0783005,62,49,13,20.2078991,15.9708004,4.2371502,24.0245991,40.5984001,21.2737007,19.5827007,22.2744007,172.5590057,81.2040024,113.7269974,38.6273003,20.8528996,105.6230011,5.8961601,5.8980799,5.8980799,0
"61","EMFWOR_NSWRC3-03B_2018",10.3571997,104.0599976,250.5200043,387.4509888,1.42347,6.49895,69.75,123.4800034,17.0130005,36.9317017,5.5734801,36.9317017,68,49,19,22.1636009,15.9708004,6.19276,22.7339001,40.2463989,11.6827002,15.6458998,9.4441004,216.6560059,78.9514008,151.8300018,35.3202019,15.7070999,85.9014969,4.6054602,0,0,0
"62","EMFWOR_NSWRC3-04A_2016",102.5289993,34.4339981,441.6080017,373.0539856,5.0009999,2.3083799,150.0299988,85.4100037,14.29,40.2170982,40.2170982,17.0137997,67,30,37,21.8376007,9.7780399,12.0595999,48.9000015,27.8381004,67.3034973,87.9918976,30.9624996,113.5500031,83.6835022,102.7450027,86.2440033,140.3000031,42.4146996,0,0,0,0
"63","EMFWOR_NSWRC3-04A_2018",102.5289993,34.4339981,441.6080017,373.0539856,5.0009999,2.3083799,150.0299988,85.4100037,14.29,40.2170982,40.2170982,17.0137997,67,30,37,21.8376007,9.7780399,12.0595999,48.9000015,27.8381004,67.3034973,87.9918976,30.9624996,113.5500031,83.6835022,102.7450027,86.2440033,140.3000031,42.4146996,0,0,0,0
"64","EMFWOR_NSWRC3-04A_2020",101.9909973,38.0727005,441.9230042,379.5469971,4.9679999,2.47135,149.0399933,91.4400024,13.5320997,40.0410995,40.0410995,18.6858006,67,30,37,21.8376007,9.7780399,12.0595999,48.577301,29.8034992,63.0340004,77.1464996,40.0317001,111.8300018,88.0208969,102.5879974,83.6258011,129.2400055,46.6414986,0,0,0,0
"65","EMFWOR_NSWRC3-09A_2015",21.0646992,117.1589966,317.9639893,276.2909851,1.896,13.5699997,85.3199997,122.1299973,15.3641996,38.9850006,11.9976997,38.9850006,54,45,9,17.6005001,14.6671,2.9334099,27.8087006,39.8064003,21.0788994,33.8185997,12.1789999,138.6900024,92.8254013,67.584198,64.1488037,36.452301,202.6320038,0,0,0,0
"66","EMFWOR_NSWRC3-09A_2016",21.0646992,117.1589966,317.9639893,276.2909851,1.896,13.5699997,85.3199997,122.1299973,15.3641996,38.9850006,11.9976997,38.9850006,54,45,9,17.6005001,14.6671,2.9334099,27.8087006,39.8064003,21.0788994,33.8185997,12.1789999,138.6900024,92.8254013,67.584198,64.1488037,36.452301,202.6320038,0,0,0,0
"67","EMFWOR_NSWRC3-09A_2018",22.6042995,88.1306992,264.6359863,322.7200012,2.82441,7.7207098,96.0299988,108.0899963,12.9469004,31.7395,10.5016003,31.7395,48,34,14,15.6449003,11.0818005,4.5630798,31.2994995,35.2303009,45.1982002,41.7621994,48.2509003,103.1920013,74.1847,89.0326996,71.5224991,50.9737015,121.427002,0,0,0,0
"68","EMFWOR_NSWRC3-09A_2019",39.5632019,89.6567001,338.8469849,297.1659851,3.1696899,9.1199999,101.4300003,109.4400024,13.4812002,32.2089005,18.1578007,32.2089005,44,32,12,14.3410997,10.4299002,3.9112201,33.0595016,35.6702995,49.0849991,50.1473999,48.1002998,77.8163986,70.3079987,76.2845001,92.6103973,80.5295029,124.8259964,0,0,0,0
"69","EMMAOR_NCLIFFC1-07A_2015",21.0025005,13.0732002,295.2109985,259.7139893,2.16188,1.68792,103.7699966,89.4599991,7.9499998,13.7284002,13.7284002,7.4801998,101,48,53,32.9193993,15.6449003,17.2744999,33.8222008,29.1581001,71.8739014,96.0830002,43.7923012,85.7042999,81.0091019,64.9794006,43.3230019,56.6595001,31.2446003,0,0,0,0
