"","Measurement_ID","Trees_2550","PIPO_2550","Trees_50","PIPO_50","pPIPO"
"54","EMFWOR_CAMC3-04_2015",25,0,20,0,0
"55","EMFWOR_CAMC3-05_2015",33.3333333333333,0,27.5,7.5,0.2
"56","EMFWOR_CAMC3-06_2015",175,41.6666666666667,50,37.5,0.48780487804878
"57","EMFWOR_CAMC3-07_2015",83.3333333333333,66.6666666666667,30,25,0.818181818181818
"58","EMFWOR_CAMC3-08_2015",208.333333333333,108.333333333333,62.5,32.5,0.52
"59","EMFWOR_CAMC3-09_2015",50,0,12.5,0,0
"60","EMFWOR_CAMC3-10_2015",58.3333333333333,0,25,2.5,0.0555555555555556
"61","EMFWOR_CAMC4-01_2015",41.6666666666667,0,25,0,0
"62","EMFWOR_CAMC4-02_2015",133.333333333333,58.3333333333333,67.5,17.5,0.325581395348837
"63","EMFWOR_CAMC4-03_2015",91.6666666666667,75,27.5,27.5,0.909090909090909
"64","EMFWOR_CAMC4-04_2015",50,16.6666666666667,40,22.5,0.5
"65","EMFWOR_CAMC4-05_2015",91.6666666666667,75,10,7.5,0.8
"66","EMFWOR_CAMC4-06_2015",175,58.3333333333333,5,2.5,0.347826086956522
"67","EMFWOR_CAMC4-07_2015",91.6666666666667,50,5,5,0.615384615384615
"68","EMFWOR_CAMC4-08_2015",141.666666666667,66.6666666666667,25,22.5,0.62962962962963
"69","EMFWOR_CAMC4-09_2015",125,91.6666666666667,5,5,0.722222222222222
"70","EMFWOR_CAMC4-10_2015",100,50,5,5,0.571428571428571
"71","EMFWOR_CAMC5-01_2015",50,16.6666666666667,20,15,0.571428571428571
"72","EMFWOR_CAMC5-02_2015",66.6666666666667,58.3333333333333,5,2.5,0.8
"73","EMFWOR_CAMC5-03_2015",91.6666666666667,58.3333333333333,0,0,0.636363636363636
"74","EMFWOR_CAMC5-04_2015",58.3333333333333,33.3333333333333,22.5,7.5,0.4375
"75","EMFWOR_CAMC5-05_2015",75,50,12.5,2.5,0.466666666666667
"76","EMFWOR_CAMC5-06_2015",183.333333333333,83.3333333333333,10,0,0.384615384615385
"77","EMFWOR_CAMC5-07_2015",175,141.666666666667,10,7.5,0.8
"78","EMFWOR_CAMC5-08_2015",66.6666666666667,8.33333333333333,7.5,0,0.0909090909090909
"79","EMFWOR_CAMC5-09_2015",33.3333333333333,25,17.5,12.5,0.727272727272727
"80","EMFWOR_CAMC5-10_2015",125,0,12.5,0,0
"81","EMFWOR_CAMC6-01_2015",66.6666666666667,50,17.5,5,0.5
"82","EMFWOR_CAMC6-02_2015",266.666666666667,25,15,5,0.131578947368421
"83","EMFWOR_CAMC6-03_2015",141.666666666667,125,20,15,0.84
"84","EMFWOR_CAMC6-04_2015",125,100,37.5,37.5,0.9
"85","EMFWOR_CAMC6-05_2015",83.3333333333333,16.6666666666667,15,7.5,0.294117647058824
"86","EMFWOR_CAMC6-06_2015",83.3333333333333,16.6666666666667,12.5,10,0.4
"87","EMFWOR_CAMC6-07_2015",50,41.6666666666667,30,30,0.944444444444444
"88","EMFWOR_CAMC6-08_2015",83.3333333333333,66.6666666666667,35,32.5,0.875
"89","EMFWOR_CAMC6-09_2015",233.333333333333,183.333333333333,25,20,0.789473684210526
"90","EMFWOR_CAMC6-10_2015",233.333333333333,216.666666666667,2.5,2.5,0.931034482758621
"91","EMFWOR_CAMC7-01_2015",116.666666666667,108.333333333333,42.5,42.5,0.967741935483871
"92","EMFWOR_CAMC7-02_2015",225,66.6666666666667,40,10,0.27906976744186
"93","EMFWOR_CAMC7-03_2015",83.3333333333333,75,12.5,7.5,0.8
"94","EMFWOR_CAMC7-04_2015",183.333333333333,91.6666666666667,20,17.5,0.6
"95","EMFWOR_CAMC7-05_2015",175,141.666666666667,10,10,0.84
"96","EMFWOR_CAMC7-06_2015",133.333333333333,116.666666666667,50,45,0.888888888888889
"97","EMFWOR_CAMC7-07_2015",158.333333333333,116.666666666667,12.5,12.5,0.791666666666667
"98","EMFWOR_CAMC7-08_2015",216.666666666667,191.666666666667,7.5,2.5,0.827586206896552
"99","EMFWOR_CAMC7-09_2015",158.333333333333,91.6666666666667,5,5,0.619047619047619
"100","EMFWOR_CAMC7-10_2015",200,200,12.5,10,0.96551724137931
"101","EMFWOR_CAMC8-01_2015",291.666666666667,291.666666666667,0,0,1
"102","EMFWOR_CAMC8-02_2015",183.333333333333,150,20,12.5,0.766666666666667
"103","EMFWOR_CAMC8-03_2015",133.333333333333,116.666666666667,10,10,0.9
"104","EMFWOR_CAMC8-04_2015",216.666666666667,8.33333333333333,47.5,12.5,0.133333333333333
"105","EMFWOR_CAMC8-05_2015",125,25,62.5,10,0.175
"106","EMFWOR_CAMC8-06_2015",75,50,32.5,27.5,0.772727272727273
"107","EMFWOR_CAMC8-07_2015",8.33333333333333,8.33333333333333,0,0,0.25
"108","EMFWOR_CAMC8-08_2015",50,41.6666666666667,15,15,0.846153846153846
"109","EMFWOR_CAMC8-09_2015",16.6666666666667,0,0,0,0
"110","EMFWOR_CAMC8-10_2015",58.3333333333333,58.3333333333333,37.5,37.5,0.956521739130435
"111","EMFWOR_CAMC9-01_2015",83.3333333333333,16.6666666666667,37.5,12.5,0.28
"112","EMFWOR_CAMC9-02_2015",41.6666666666667,25,47.5,15,0.375
"113","EMFWOR_CAMC9-03_2015",66.6666666666667,50,30,30,0.9
"114","EMFWOR_CAMC9-04_2015",141.666666666667,58.3333333333333,30,7.5,0.344827586206897
"115","EMFWOR_CAMC9-05_2015",183.333333333333,8.33333333333333,20,5,0.1
"116","EMFWOR_CAMC9-06_2015",33.3333333333333,0,25,10,0.266666666666667
"117","EMFWOR_CAMC9-07_2015",116.666666666667,50,80,7.5,0.195652173913043
"118","EMFWOR_CAMC9-08_2015",166.666666666667,16.6666666666667,22.5,17.5,0.310344827586207
"119","EMFWOR_CAMC9-09_2015",266.666666666667,25,37.5,10,0.148936170212766
"120","EMFWOR_CAMC9-10_2015",275,0,40,7.5,0.0612244897959184
"121","EMFWOR_HONT1-01_2015",183.333333333333,16.6666666666667,30,5,0.117647058823529
"122","EMFWOR_HONT1-01_2017",25,0,17.5,2.5,0.1
"123","EMFWOR_HONT1-02_2015",58.3333333333333,0,62.5,25,0.3125
"124","EMFWOR_HONT1-02_2017",25,8.33333333333333,47.5,20,0.409090909090909
"125","EMFWOR_HONT1-03_2015",75,16.6666666666667,55,30,0.451612903225806
"126","EMFWOR_HONT1-03_2017",8.33333333333333,0,32.5,30,0.857142857142857
"127","EMFWOR_HONT1-04_2015",8.33333333333333,8.33333333333333,15,15,0.875
"128","EMFWOR_HONT1-04_2018",16.6666666666667,16.6666666666667,30,30,1
"129","EMFWOR_HONT1-05_2015",175,158.333333333333,37.5,27.5,0.833333333333333
"130","EMFWOR_HONT1-05_2018",100,91.6666666666667,17.5,12.5,0.842105263157895
"131","EMFWOR_HONT1-06_2015",175,41.6666666666667,32.5,17.5,0.352941176470588
"132","EMFWOR_HONT1-06_2018",58.3333333333333,16.6666666666667,40,32.5,0.652173913043478
"133","EMFWOR_HONT1-07_2015",191.666666666667,66.6666666666667,32.5,12.5,0.361111111111111
"134","EMFWOR_HONT1-07_2018",83.3333333333333,50,37.5,10,0.4
"135","EMFWOR_HONT1-08_2015",258.333333333333,66.6666666666667,20,17.5,0.384615384615385
"136","EMFWOR_HONT1-08_2018",158.333333333333,41.6666666666667,22.5,20,0.464285714285714
"137","EMFWOR_HONT1-09_2015",300,91.6666666666667,45,7.5,0.259259259259259
"138","EMFWOR_HONT1-09_2018",225,58.3333333333333,42.5,7.5,0.227272727272727
"139","EMFWOR_HONT1-10_2015",183.333333333333,16.6666666666667,42.5,32.5,0.384615384615385
"140","EMFWOR_HONT1-10_2018",58.3333333333333,8.33333333333333,22.5,20,0.5625
"141","EMFWOR_LFTT1-01_2015",175,33.3333333333333,30,12.5,0.272727272727273
"142","EMFWOR_LFTT1-02_2015",100,8.33333333333333,32.5,10,0.2
"143","EMFWOR_LFTT1-02_2021",100,8.33333333333333,32.5,10,0.2
"144","EMFWOR_LFTT1-03_2015",0,0,35,35,1
"145","EMFWOR_LFTT1-03_2021",0,0,35,35,1
"146","EMFWOR_LFTT1-04_2015",100,66.6666666666667,35,25,0.692307692307692
"147","EMFWOR_LFTT1-05_2015",116.666666666667,83.3333333333333,35,30,0.785714285714286
"148","EMFWOR_LFTT1-06_2015",83.3333333333333,25,35,2.5,0.166666666666667
"149","EMFWOR_LFTT1-07_2015",100,83.3333333333333,67.5,62.5,0.897435897435897
"150","EMFWOR_LFTT1-07_2021",100,83.3333333333333,67.5,62.5,0.897435897435897
"151","EMFWOR_LFTT1-08_2015",200,175,17.5,7.5,0.774193548387097
"152","EMFWOR_LFTT1-08_2021",208.333333333333,175,17.5,7.5,0.75
"153","EMFWOR_LFTT1-09_2015",100,66.6666666666667,17.5,7.5,0.55
"154","EMFWOR_LFTT1-10_2015",100,33.3333333333333,25,17.5,0.5
"155","EMFWOR_LFTT2-01_2015",116.666666666667,33.3333333333333,35,35,0.642857142857143
"156","EMFWOR_LFTT2-01_2018",66.6666666666667,25,40,40,0.791666666666667
"157","EMFWOR_LFTT2-01_pre",183.333333333333,58.3333333333333,75,75,0.711538461538462
"158","EMFWOR_LFTT2-02_2015",33.3333333333333,8.33333333333333,20,10,0.416666666666667
"159","EMFWOR_LFTT2-02_pre",33.3333333333333,8.33333333333333,20,10,0.416666666666667
"160","EMFWOR_LFTT2-03_2015",66.6666666666667,58.3333333333333,35,32.5,0.909090909090909
"161","EMFWOR_LFTT2-03_2018",50,41.6666666666667,27.5,27.5,0.941176470588235
"162","EMFWOR_LFTT2-03_pre",116.666666666667,100,62.5,60,0.923076923076923
"163","EMFWOR_LFTT2-04_2015",100,8.33333333333333,37.5,10,0.185185185185185
"164","EMFWOR_LFTT2-04_pre",100,8.33333333333333,37.5,10,0.185185185185185
"165","EMFWOR_LFTT2-05_2015",125,100,35,35,0.896551724137931
"166","EMFWOR_LFTT2-06_2015",41.6666666666667,33.3333333333333,47.5,30,0.666666666666667
"167","EMFWOR_LFTT2-06_2018",33.3333333333333,33.3333333333333,27.5,27.5,1
"168","EMFWOR_LFTT2-07_2015",16.6666666666667,16.6666666666667,5,5,0.8
"169","EMFWOR_LFTT2-08_2015",150,8.33333333333333,57.5,20,0.219512195121951
"170","EMFWOR_LFTT2-08_2018",8.33333333333333,0,22.5,15,0.6
"171","EMFWOR_LFTT2-09_2015",150,8.33333333333333,42.5,22.5,0.285714285714286
"172","EMFWOR_LFTT2-09_2018",16.6666666666667,0,32.5,30,0.8
"173","EMFWOR_LFTT2-09_pre",166.666666666667,8.33333333333333,75,52.5,0.423076923076923
"174","EMFWOR_LFTT2-10_2015",175,33.3333333333333,22.5,10,0.266666666666667
"175","EMFWOR_LFTT2-10_pre",175,33.3333333333333,22.5,10,0.266666666666667
"176","EMFWOR_LILT1-01_2015",33.3333333333333,8.33333333333333,37.5,37.5,0.842105263157895
"177","EMFWOR_LILT1-01_2017",0,0,37.5,37.5,1
"178","EMFWOR_LILT1-02_2015",133.333333333333,8.33333333333333,112.5,40,0.278688524590164
"179","EMFWOR_LILT1-02_2017",16.6666666666667,8.33333333333333,42.5,35,0.789473684210526
"180","EMFWOR_LILT1-03_2015",50,8.33333333333333,20,17.5,0.571428571428571
"181","EMFWOR_LILT1-03_2017",50,8.33333333333333,20,17.5,0.571428571428571
"182","EMFWOR_LILT1-04_2015",166.666666666667,8.33333333333333,85,15,0.12962962962963
"183","EMFWOR_LILT1-04_2017",58.3333333333333,8.33333333333333,30,5,0.157894736842105
"184","EMFWOR_LILT1-05_2015",225,25,50,32.5,0.340425531914894
"185","EMFWOR_LILT1-05_2017",50,16.6666666666667,32.5,32.5,0.789473684210526
"186","EMFWOR_LILT1-06_2015",141.666666666667,66.6666666666667,42.5,32.5,0.617647058823529
"187","EMFWOR_LILT1-06_2017",16.6666666666667,16.6666666666667,32.5,32.5,1
"188","EMFWOR_LILT1-07_2015",83.3333333333333,8.33333333333333,47.5,32.5,0.482758620689655
"189","EMFWOR_LILT1-07_2017",8.33333333333333,8.33333333333333,32.5,32.5,1
"190","EMFWOR_LILT1-08_2015",8.33333333333333,8.33333333333333,27.5,25,0.846153846153846
"191","EMFWOR_LILT1-08_2017",16.6666666666667,0,15,15,0.75
"192","EMFWOR_LILT1-09_2015",116.666666666667,83.3333333333333,40,32.5,0.766666666666667
"193","EMFWOR_LILT1-09_2020",116.666666666667,75,42.5,35,0.741935483870968
"194","EMFWOR_LILT1-10_2015",8.33333333333333,0,22.5,5,0.181818181818182
"195","EMFWOR_LILT2-01_2015",183.333333333333,25,65,32.5,0.333333333333333
"196","EMFWOR_LILT2-01_2017",33.3333333333333,8.33333333333333,27.5,27.5,0.8
"197","EMFWOR_LILT2-02_2015",241.666666666667,100,25,15,0.461538461538462
"198","EMFWOR_LILT2-02_2017",91.6666666666667,33.3333333333333,25,22.5,0.619047619047619
"199","EMFWOR_LILT2-03_2015",116.666666666667,58.3333333333333,27.5,22.5,0.64
"200","EMFWOR_LILT2-03_2017",100,25,17.5,15,0.473684210526316
"201","EMFWOR_LILT2-04_2015",91.6666666666667,8.33333333333333,47.5,27.5,0.4
"202","EMFWOR_LILT2-04_2017",41.6666666666667,0,32.5,27.5,0.611111111111111
"203","EMFWOR_LILT2-05_2015",108.333333333333,0,55,12.5,0.142857142857143
"204","EMFWOR_LILT2-05_2017",33.3333333333333,0,42.5,17.5,0.333333333333333
"205","EMFWOR_LILT2-06_2015",66.6666666666667,25,37.5,25,0.565217391304348
"206","EMFWOR_LILT2-06_2017",33.3333333333333,8.33333333333333,27.5,27.5,0.8
"207","EMFWOR_LILT2-07_2015",125,16.6666666666667,35,27.5,0.448275862068966
"208","EMFWOR_LILT2-08_2015",100,8.33333333333333,20,17.5,0.4
"209","EMFWOR_LILT2-08_2017",41.6666666666667,8.33333333333333,15,15,0.636363636363636
"210","EMFWOR_LILT2-09_2015",158.333333333333,83.3333333333333,35,30,0.666666666666667
"211","EMFWOR_LILT2-09_2018",58.3333333333333,50,32.5,30,0.9
"212","EMFWOR_LILT2-09_2019",58.3333333333333,50,32.5,30,0.9
"213","EMFWOR_LILT2-10_2015",83.3333333333333,33.3333333333333,25,15,0.5
"214","EMFWOR_LILT2-10_2017",41.6666666666667,16.6666666666667,15,10,0.545454545454545
"215","EMFWOR_LILT3-01_2015",250,83.3333333333333,62.5,50,0.545454545454545
"216","EMFWOR_LILT3-01_2017",250,83.3333333333333,62.5,50,0.545454545454545
"217","EMFWOR_LILT3-01_2020",158.333333333333,66.6666666666667,52.5,40,0.6
"218","EMFWOR_LILT3-02_2015",91.6666666666667,8.33333333333333,77.5,20,0.214285714285714
"219","EMFWOR_LILT3-02_2017",91.6666666666667,8.33333333333333,77.5,20,0.214285714285714
"220","EMFWOR_LILT3-03_2015",166.666666666667,16.6666666666667,50,5,0.1
"221","EMFWOR_LILT3-03_2017",33.3333333333333,0,32.5,15,0.352941176470588
"222","EMFWOR_LILT3-03_2019",50,8.33333333333333,17.5,10,0.384615384615385
"223","EMFWOR_LILT3-04_2015",291.666666666667,8.33333333333333,90,32.5,0.197183098591549
"224","EMFWOR_LILT3-04_2017",0,0,32.5,30,0.923076923076923
"225","EMFWOR_LILT3-04_2020",0,0,25,22.5,0.9
"226","EMFWOR_LILT3-05_2015",150,66.6666666666667,45,35,0.611111111111111
"227","EMFWOR_LILT3-05_2017",16.6666666666667,8.33333333333333,32.5,27.5,0.8
"228","EMFWOR_LILT3-05_2020",16.6666666666667,16.6666666666667,30,30,1
"229","EMFWOR_LILT3-06_2015",66.6666666666667,66.6666666666667,50,50,0.96551724137931
"230","EMFWOR_LILT3-06_2017",8.33333333333333,8.33333333333333,35,35,1
"231","EMFWOR_LILT3-07_2015",141.666666666667,100,57.5,52.5,0.825
"232","EMFWOR_LILT3-07_2017",25,25,27.5,27.5,1
"233","EMFWOR_LILT3-08_2015",91.6666666666667,83.3333333333333,45,37.5,0.862068965517241
"234","EMFWOR_LILT3-08_2017",50,41.6666666666667,32.5,30,0.894736842105263
"235","EMFWOR_LILT3-09_2015",225,16.6666666666667,32.5,15,0.2
"236","EMFWOR_LILT3-09_2017",33.3333333333333,25,17.5,12.5,0.727272727272727
"237","EMFWOR_LILT3-10_2015",150,16.6666666666667,47.5,35,0.432432432432432
"238","EMFWOR_LILT3-10_2017",8.33333333333333,8.33333333333333,27.5,27.5,1
"239","EMFWOR_MUDT1-01_2015",50,8.33333333333333,27.5,17.5,0.470588235294118
"240","EMFWOR_MUDT1-01_2019",8.33333333333333,0,20,15,0.666666666666667
"241","EMFWOR_MUDT1-01_pre",58.3333333333333,8.33333333333333,47.5,32.5,0.518518518518518
"242","EMFWOR_MUDT1-02_2015",75,16.6666666666667,17.5,2.5,0.1875
"243","EMFWOR_MUDT1-02_2019",66.6666666666667,66.6666666666667,22.5,7.5,0.647058823529412
"244","EMFWOR_MUDT1-02_pre",141.666666666667,83.3333333333333,40,10,0.411764705882353
"245","EMFWOR_MUDT1-03_2015",25,0,30,5,0.133333333333333
"246","EMFWOR_MUDT1-03_2019",58.3333333333333,33.3333333333333,22.5,2.5,0.3125
"247","EMFWOR_MUDT1-03_pre",83.3333333333333,33.3333333333333,52.5,7.5,0.225806451612903
"248","EMFWOR_MUDT1-04_2015",83.3333333333333,0,90,0,0
"249","EMFWOR_MUDT1-04_2019",33.3333333333333,0,60,0,0
"250","EMFWOR_MUDT1-05_2015",25,25,70,37.5,0.580645161290323
"251","EMFWOR_MUDT1-05_2018",0,0,37.5,35,0.933333333333333
"252","EMFWOR_MUDT1-05_pre",25,25,107.5,72.5,0.695652173913043
"253","EMFWOR_MUDT1-06_2015",83.3333333333333,25,37.5,27.5,0.56
"254","EMFWOR_MUDT1-06_2018",25,8.33333333333333,22.5,22.5,0.833333333333333
"255","EMFWOR_MUDT1-06_pre",108.333333333333,33.3333333333333,60,50,0.648648648648649
"256","EMFWOR_MUDT1-07_2015",58.3333333333333,16.6666666666667,42.5,20,0.416666666666667
"257","EMFWOR_MUDT1-07_2018",41.6666666666667,33.3333333333333,22.5,10,0.571428571428571
"258","EMFWOR_MUDT1-07_pre",100,50,65,30,0.473684210526316
"259","EMFWOR_MUDT1-08_2015",25,0,55,5,0.08
"260","EMFWOR_MUDT1-08_2018",0,0,42.5,2.5,0.0588235294117647
"261","EMFWOR_MUDT1-08_pre",25,0,97.5,7.5,0.0714285714285714
"262","EMFWOR_MUDT1-09_2015",100,0,60,5,0.0555555555555556
"263","EMFWOR_MUDT1-09_2019",0,0,32.5,5,0.153846153846154
"264","EMFWOR_MUDT1-09_pre",100,0,92.5,10,0.0816326530612245
"265","EMFWOR_MUDT1-10_2015",33.3333333333333,0,50,5,0.0833333333333333
"266","EMFWOR_MUDT1-10_2019",8.33333333333333,0,37.5,5,0.125
"267","EMFWOR_MUDT2-01_2015",75,16.6666666666667,50,45,0.689655172413793
"268","EMFWOR_MUDT2-02_2015",58.3333333333333,58.3333333333333,52.5,52.5,1
"269","EMFWOR_MUDT2-02_pre",58.3333333333333,58.3333333333333,52.5,52.5,1
"270","EMFWOR_MUDT2-03_2015",150,75,57.5,42.5,0.634146341463415
"271","EMFWOR_MUDT2-03_2019",75,58.3333333333333,57.5,45,0.78125
"272","EMFWOR_MUDT2-04_2015",133.333333333333,8.33333333333333,65,42.5,0.428571428571429
"273","EMFWOR_MUDT2-04_2019",116.666666666667,58.3333333333333,35,32.5,0.714285714285714
"274","EMFWOR_MUDT2-05_2015",91.6666666666667,0,67.5,20,0.210526315789474
"275","EMFWOR_MUDT2-05_2019",58.3333333333333,0,52.5,20,0.285714285714286
"276","EMFWOR_MUDT2-06_2015",50,8.33333333333333,52.5,10,0.185185185185185
"277","EMFWOR_MUDT2-06_2019",58.3333333333333,0,55,7.5,0.103448275862069
"278","EMFWOR_MUDT2-07_2015",141.666666666667,33.3333333333333,52.5,15,0.263157894736842
"279","EMFWOR_MUDT2-07_2019",83.3333333333333,16.6666666666667,22.5,12.5,0.368421052631579
"280","EMFWOR_MUDT2-08_2015",125,16.6666666666667,47.5,15,0.235294117647059
"281","EMFWOR_MUDT2-08_2019",41.6666666666667,0,22.5,17.5,0.5
"282","EMFWOR_MUDT2-09_2015",133.333333333333,16.6666666666667,25,7.5,0.192307692307692
"283","EMFWOR_MUDT2-09_2019",50,25,12.5,2.5,0.363636363636364
"284","EMFWOR_MUDT2-10_2015",108.333333333333,8.33333333333333,67.5,7.5,0.1
"285","EMFWOR_MUDT2-10_2019",50,33.3333333333333,35,20,0.6
"286","EMFWOR_NCAMC1-01A_2015",33.3333333333333,0,17.5,7.5,0.272727272727273
"287","EMFWOR_NCAMC1-01A_2017",50,41.6666666666667,15,12.5,0.769230769230769
"288","EMFWOR_NCAMC1-02A_2018",191.666666666667,83.3333333333333,17.5,12.5,0.5
"289","EMFWOR_NCAMC1-02A_2019",191.666666666667,83.3333333333333,17.5,12.5,0.5
"290","EMFWOR_NCAMC1-09A_2015",8.33333333333333,0,5,5,0.666666666666667
"291","EMFWOR_NCAMC1-09A_2015_pre",8.33333333333333,0,5,5,0.333333333333333
"292","EMFWOR_NCAMC1-09A_2018",0,0,0,0,0
"293","EMFWOR_NCAMC1-09A_2019",16.6666666666667,16.6666666666667,2.5,0,0.666666666666667
"294","EMFWOR_NCAMC1-09A_2019_pre",16.6666666666667,16.6666666666667,2.5,0,0.4
"295","EMFWOR_NCAMC1-10A_2017",8.33333333333333,8.33333333333333,5,5,1
"296","EMFWOR_NCAMC1-10A_2017_pre",8.33333333333333,8.33333333333333,5,5,0.6
"297","EMFWOR_NCAMC1-10A_2020",41.6666666666667,25,10,7.5,0.666666666666667
"298","EMFWOR_NCAMC1-10A_2020_pre",41.6666666666667,25,10,7.5,0.545454545454545
"299","EMFWOR_NCAMC2-10A_2018",91.6666666666667,66.6666666666667,7.5,7.5,0.733333333333333
"300","EMFWOR_NCAMC2-10A_2019",91.6666666666667,66.6666666666667,7.5,7.5,0.733333333333333
"301","EMFWOR_NCAMC3-08A_2018",75,0,0,0,0
"302","EMFWOR_NCAMC3-08A_2020",33.3333333333333,8.33333333333333,5,0,0.142857142857143
"303","EMFWOR_NCAMC4-01A_2018",75,58.3333333333333,20,20,0.882352941176471
"304","EMFWOR_NCAMC4-01A_2018_pre",75,58.3333333333333,20,20,0.882352941176471
"305","EMFWOR_NCAMC4-01A_2020",50,0,15,5,0.166666666666667
"306","EMFWOR_NCAMC4-01A_2020_pre",50,0,15,5,0.166666666666667
"307","EMFWOR_NCAMC4-07A_2016",66.6666666666667,66.6666666666667,0,0,0.888888888888889
"308","EMFWOR_NCAMC4-07A_2018",83.3333333333333,0,2.5,2.5,0.0833333333333333
"309","EMFWOR_NCAMC4-07A_2019",66.6666666666667,58.3333333333333,20,17.5,0.823529411764706
"310","EMFWOR_NCAMC4-09A_2020",116.666666666667,50,7.5,7.5,0.529411764705882
"311","EMFWOR_NCAMC4-10A_2016",8.33333333333333,0,15,0,0
